"","Malignant","B","T","CAF","Macro","Endo","NK"
"Lymphoid",-8.4737726989525,11.4171941155468,6.33004792421037,-0.129924744013938,-2.12187027329875,1.01795641950403,1.19408599624806
"Melanoma",12.5309248764797,-6.93575484958639,-3.81626875869316,-10.5695798622206,4.13005167525785,-10.1583204920626,-1.49788067273149
"Others",-6.22251456098193,0.879028530734152,-0.368590249124998,9.01902528411706,-1.70596908038889,6.86390491257658,0.377958228112876
"Stromal",-2.47716972822931,-2.12141284671831,-0.111387143190106,4.83922282713139,-2.13045457046193,5.92878303368283,0.638793699069902
