"CellType","Correlation","PValue","AdjustedPValue"
"B",0.598011096576628,1.0498673878835e-29,1.0498673878835e-29
"CAF",0.806797481418151,3.06574360386428e-68,3.06574360386428e-68
"Endo",0.652373366625414,8.72898491538678e-37,8.72898491538678e-37
"Macro",0.085188005644107,0.146476523381761,0.146476523381761
"Malignant",0.390810905613148,4.29968164788782e-12,4.29968164788782e-12
"NK",0.349264177330655,8.41088607886199e-10,8.41088607886199e-10
"T",0.352568972653418,5.68045597115457e-10,5.68045597115457e-10
