"","V1"
"1","CD69"
"2","EPAS1"
"3","TGFBI"
"4","CXCR4"
"5","THBS1"
"6","MT2A"
"7","G0S2"
"8","EGR2"
"9","CXCL10"
"10","VCAM1"
"11","PLAUR"
"12","ADM"
"13","CD83"
"14","IL2RA"
"15","IL10"
"16","CXCL8"
"17","CCL2"
"18","SERPINE1"
"19","IL6"
"20","FOS"
"21","NFKBIA"
"22","IL1B"
"23","MMP9"
"24","TNF"
"25","IER3"
"26","LILRA3"
"27","FDCSP"
"28","CD80"
"29","MGC16025"
